category_id,name,level,product_count,children_count,bench_min_secs,bench_max_secs,bench_avg_secs
1,..............................,0,0,26,0.01841307,0.05599785,0.026830458
3,"Root Catalog..............................",1,0,25,0.01870298,0.02905178,0.021766854
4,Shirts..............................,3,19,0,0.0153141,0.02470207,0.019475531
5,Shoes..............................,3,0,2,0.01481485,0.03194499,0.021110082
8,"Cell Phones..............................",3,6,0,0.02077818,0.03213906,0.026010182
10,Furniture..............................,2,0,2,0.02263594,0.03112102,0.025517488
12,Cameras..............................,3,1,2,0.02088499,0.03330612,0.026414729
13,Electronics....................,2,0,13,0.02506018,0.04002905,0.030829644
15,Computers....................,3,7,8,0.02019119,0.02912116,0.023357201
16,Mens....................,4,22,0,0.01665092,0.02932811,0.023247792
17,Womens....................,4,34,0,0.01437187,0.0230732,0.018057107
18,Apparel....................,2,0,6,0.01925707,0.02996898,0.02288201
19,Hoodies....................,3,1,0,0.01541591,0.02691793,0.02017455
20,"Household Items....................",2,0,0,0.0161078,0.02263284,0.01926558
22,"Living Room....................",3,4,0,0.01547384,0.0256741,0.019413041
23,Bedroom....................,3,2,0,0.01767302,0.02609897,0.021136141
24,Pants....................,3,0,0,0.02172112,0.04125023,0.027941274
25,Accessories....................,4,3,0,0.01978803,0.04151511,0.028328014
26,"Digital Cameras....................",4,5,0,0.01902008,0.03396106,0.022686626
27,"Build Your Own....................",4,3,0,0.01492691,0.02551603,0.018754172
28,Laptops....................,4,4,0,0.01474905,0.03362393,0.021816563
29,"Hard Drives....................",4,4,0,0.02051806,0.02569699,0.023384618
30,Monitors....................,4,4,0,0.01701093,0.03502584,0.024842359
31,"RAM / Memory....................",4,3,0,0.02054596,0.03180003,0.027284884
32,Cases....................,4,2,0,0.01978683,0.02589393,0.022254252
33,Processors....................,4,4,0,0.01545906,0.02961087,0.022281193
34,Peripherals....................,4,4,0,0.01774096,0.02676201,0.020950604
